CPU_Use,App_Name,Framework
84.6,I,Client-Server
111,I,Client-Server
100,I,Client-Server
92.3,I,Client-Server
144,I,Client-Server
130,I,Client-Server
73,I,Client-Server
46.1,I,Client-Server
111,I,Client-Server
76.9,I,Client-Server
53.8,I,Client-Server
92.3,I,Client-Server
53.8,I,Client-Server
80.7,I,Client-Server
69.2,I,Client-Server
46.1,I,Client-Server
130,I,Client-Server
38.4,I,Client-Server
57.6,I,Client-Server
53.8,I,Client-Server
46.1,I,Client-Server
62.9,I,Client-Server
46.1,I,Client-Server
53.8,I,Client-Server
65.3,I,Client-Server
46.1,I,Client-Server
61.5,I,Client-Server
75,I,Client-Server
46.1,I,Client-Server
53.5,I,Client-Server
50,I,Client-Server
50,I,Client-Server
73,I,Client-Server
51.8,I,Client-Server
61.5,I,Client-Server
46.1,I,Client-Server
53.8,I,Client-Server
80.7,I,Client-Server
50,I,Client-Server
46.1,I,Client-Server
46.1,I,Client-Server
46.1,I,Client-Server
46.1,I,Client-Server
88.4,I,Client-Server
46.1,I,Client-Server
80.7,I,Client-Server
35.7,I,Client-Server
53.8,I,Client-Server
77.7,I,Client-Server
72.4,I,Client-Server
70.3,I,Client-Server
65.3,I,Client-Server
42.3,I,Client-Server
59.2,I,Client-Server
111,I,Client-Server
64.2,I,Client-Server
55.5,I,Client-Server
67.8,I,Client-Server
51.6,I,Client-Server
81.4,I,Client-Server
53.8,I,Client-Server
57.6,I,Client-Server
59.2,I,Client-Server
70.3,I,Client-Server
100,I,Client-Server
53.8,I,Client-Server
73,I,Client-Server
38.4,I,Client-Server
107,I,Client-Server
92.3,I,Client-Server
88.8,I,Client-Server
85.7,I,Client-Server
81.4,I,Client-Server
100,I,Client-Server
100,I,Client-Server
84.6,I,Client-Server
85.1,I,Client-Server
92.5,I,Client-Server
85.1,I,Client-Server
81.4,I,Client-Server
80.7,I,Client-Server
77.7,I,Client-Server
81.4,I,Client-Server
85.1,I,Client-Server
92.3,I,Client-Server
63.3,I,Client-Server
76.9,I,Client-Server
107,I,Client-Server
68.9,I,Client-Server
130,I,Client-Server
96.1,I,Client-Server
76.9,I,Client-Server
133,I,Client-Server
70,I,Client-Server
107,I,Client-Server
71.4,I,Client-Server
74,I,Client-Server
3.8,I,Client-Server
3.8,I,Client-Server
3.8,I,Client-Server
3.8,I,Client-Server
14.8,I,Client-Server
3.8,I,Client-Server
3.8,I,Client-Server
112,I,Client-Server
92.5,I,Client-Server
100,I,Client-Server
103,I,Client-Server
111,I,Client-Server
68.9,I,Client-Server
81.4,I,Client-Server
84.6,I,Client-Server
59.2,I,Client-Server
55.1,I,Client-Server
69.2,I,Client-Server
85.1,I,Client-Server
114,I,Client-Server
117,I,Client-Server
111,I,Client-Server
89.2,I,Client-Server
114,I,Client-Server
122,I,Client-Server
92.5,I,Client-Server
74,I,Client-Server
92.5,I,Client-Server
88.8,I,Client-Server
103,I,Client-Server
93.5,I,Client-Server
92.3,I,Client-Server
84.6,I,Client-Server
103,I,Client-Server
22.2,I,Client-Server
3.8,I,Client-Server
7.6,I,Client-Server
103,I,Client-Server
142,I,Client-Server
88.4,I,Client-Server
118,I,Client-Server
150,I,Client-Server
155,I,Client-Server
53.3,I,Client-Server
100,I,Client-Server
96.2,I,Client-Server
76.9,I,Client-Server
73,I,Client-Server
61.2,I,Client-Server
67.8,I,Client-Server
80.7,I,Client-Server
69.2,I,Client-Server
78.5,I,Client-Server
75,I,Client-Server
60.7,I,Client-Server
76.9,I,Client-Server
73,I,Client-Server
57.6,I,Client-Server
76.9,I,Client-Server
81.4,I,Client-Server
73,I,Client-Server
69.2,I,Client-Server
76.9,I,Client-Server
77.7,I,Client-Server
53.8,I,Client-Server
76.9,I,Client-Server
77.7,I,Client-Server
46.4,I,Client-Server
7.6,I,Client-Server
3.7,I,Client-Server
76.9,I,Client-Server
34.6,I,Client-Server
57.6,I,Client-Server
3.8,I,Client-Server
7.6,I,Client-Server
3.8,I,Client-Server
3.8,I,Client-Server
3.8,I,Client-Server
3.8,I,Client-Server
3.8,I,Client-Server
3.8,I,Client-Server
3.8,I,Client-Server
3.8,I,Client-Server
3.8,I,Client-Server
3.8,I,Client-Server
3.8,I,Client-Server
3.8,I,Client-Server
3.8,I,Client-Server
3.8,I,Client-Server
3.8,I,Client-Server
3.8,I,Client-Server
3.8,I,Client-Server
3.8,I,Client-Server
80.7,I,Client-Server
103,I,Client-Server
80.7,I,Client-Server
7.6,I,Client-Server
7.6,I,Client-Server
3.8,I,Client-Server
77.7,I,Client-Server
19.2,I,Client-Server
19.2,I,Client-Server
3.8,I,Client-Server
3.8,I,Client-Server
11.5,I,Client-Server
30.7,I,Client-Server
7.6,I,Client-Server
7.6,I,Client-Server
7.6,I,Client-Server
7.6,I,Client-Server
7.1,I,Client-Server
7.6,I,Client-Server
3.8,I,Client-Server
15.3,I,Client-Server
11.5,I,Client-Server
11.5,I,Client-Server
11.5,I,Client-Server
3.8,I,Client-Server
11.5,I,Client-Server
7.6,I,Client-Server
7.6,I,Client-Server
3.8,I,Client-Server
3.8,I,Client-Server
11.5,I,Client-Server
7.6,I,Client-Server
3.8,I,Client-Server
11.5,I,Client-Server
11.5,I,Client-Server
3.8,I,Client-Server
3.8,I,Client-Server
7.6,I,Client-Server
3.8,I,Client-Server
3.8,I,Client-Server
7.6,I,Client-Server
3.8,I,Client-Server
3.8,I,Client-Server
7.6,I,Client-Server
7.6,I,Client-Server
3.8,I,Client-Server
11.5,I,Client-Server
3.8,I,Client-Server
11.5,I,Client-Server
26.9,I,Client-Server
3.8,I,Client-Server
3.8,I,Client-Server
11.5,I,Client-Server
11.5,I,Client-Server
