Mem_use,App,Framework
2.9,I,Client-Server
7.4,I,Client-Server
9.7,I,Client-Server
10.2,I,Client-Server
10.7,I,Client-Server
12.2,I,Client-Server
11,I,Client-Server
11,I,Client-Server
11.3,I,Client-Server
11.8,I,Client-Server
11.8,I,Client-Server
11.6,I,Client-Server
11.6,I,Client-Server
11.7,I,Client-Server
11.8,I,Client-Server
11.8,I,Client-Server
11.8,I,Client-Server
11.8,I,Client-Server
11.8,I,Client-Server
11.9,I,Client-Server
11.9,I,Client-Server
11.9,I,Client-Server
11.9,I,Client-Server
11.9,I,Client-Server
12,I,Client-Server
12,I,Client-Server
12,I,Client-Server
12,I,Client-Server
12,I,Client-Server
12.1,I,Client-Server
12.2,I,Client-Server
12.2,I,Client-Server
12.2,I,Client-Server
12.2,I,Client-Server
12.2,I,Client-Server
12.3,I,Client-Server
12.3,I,Client-Server
12.3,I,Client-Server
12.3,I,Client-Server
12.3,I,Client-Server
12.5,I,Client-Server
12.5,I,Client-Server
12.5,I,Client-Server
12.5,I,Client-Server
12.5,I,Client-Server
12.5,I,Client-Server
12.6,I,Client-Server
12.6,I,Client-Server
12.6,I,Client-Server
12.6,I,Client-Server
12.6,I,Client-Server
12.2,I,Client-Server
12.2,I,Client-Server
12.2,I,Client-Server
12.2,I,Client-Server
12.2,I,Client-Server
12.2,I,Client-Server
12.3,I,Client-Server
12.3,I,Client-Server
12.3,I,Client-Server
12.3,I,Client-Server
12.4,I,Client-Server
12.4,I,Client-Server
12.4,I,Client-Server
12.4,I,Client-Server
12.4,I,Client-Server
12.4,I,Client-Server
12.5,I,Client-Server
12.5,I,Client-Server
12.5,I,Client-Server
12.5,I,Client-Server
11.7,I,Client-Server
11.8,I,Client-Server
11.9,I,Client-Server
12,I,Client-Server
12,I,Client-Server
12,I,Client-Server
12.1,I,Client-Server
12.1,I,Client-Server
12.1,I,Client-Server
12.1,I,Client-Server
11.9,I,Client-Server
11.9,I,Client-Server
11.9,I,Client-Server
11.9,I,Client-Server
12.1,I,Client-Server
12.1,I,Client-Server
12.1,I,Client-Server
12.1,I,Client-Server
12.1,I,Client-Server
12.1,I,Client-Server
12.2,I,Client-Server
12.2,I,Client-Server
12.1,I,Client-Server
12.1,I,Client-Server
12.1,I,Client-Server
12.1,I,Client-Server
12.1,I,Client-Server
12.1,I,Client-Server
12.3,I,Client-Server
12.3,I,Client-Server
12.3,I,Client-Server
12.3,I,Client-Server
12.3,I,Client-Server
12.3,I,Client-Server
12.3,I,Client-Server
12.3,I,Client-Server
12.5,I,Client-Server
12.5,I,Client-Server
12.5,I,Client-Server
12.6,I,Client-Server
12.6,I,Client-Server
12.6,I,Client-Server
12.6,I,Client-Server
12.6,I,Client-Server
12.7,I,Client-Server
12.7,I,Client-Server
12.7,I,Client-Server
12.8,I,Client-Server
12.4,I,Client-Server
12.6,I,Client-Server
12.7,I,Client-Server
12.7,I,Client-Server
12.8,I,Client-Server
12.9,I,Client-Server
12.9,I,Client-Server
12.9,I,Client-Server
12.9,I,Client-Server
12.9,I,Client-Server
13,I,Client-Server
13,I,Client-Server
13,I,Client-Server
13,I,Client-Server
13,I,Client-Server
13,I,Client-Server
13,I,Client-Server
3.7,I,Client-Server
7.5,I,Client-Server
10.1,I,Client-Server
10.2,I,Client-Server
12,I,Client-Server
10.7,I,Client-Server
11.7,I,Client-Server
11.7,I,Client-Server
11.6,I,Client-Server
11.7,I,Client-Server
11.7,I,Client-Server
11.7,I,Client-Server
11.7,I,Client-Server
11.8,I,Client-Server
11.8,I,Client-Server
11.9,I,Client-Server
11.9,I,Client-Server
11.9,I,Client-Server
11.9,I,Client-Server
11.9,I,Client-Server
11.9,I,Client-Server
11.9,I,Client-Server
11.9,I,Client-Server
12,I,Client-Server
12,I,Client-Server
12,I,Client-Server
12,I,Client-Server
12,I,Client-Server
12,I,Client-Server
12.1,I,Client-Server
11.9,I,Client-Server
12,I,Client-Server
12,I,Client-Server
12,I,Client-Server
12.3,I,Client-Server
12.3,I,Client-Server
11.8,I,Client-Server
11.8,I,Client-Server
11.8,I,Client-Server
11.8,I,Client-Server
11.8,I,Client-Server
11.8,I,Client-Server
11.8,I,Client-Server
11.8,I,Client-Server
11.8,I,Client-Server
11.8,I,Client-Server
11.8,I,Client-Server
11.8,I,Client-Server
11.8,I,Client-Server
11.8,I,Client-Server
11.9,I,Client-Server
11.9,I,Client-Server
11.9,I,Client-Server
11.9,I,Client-Server
11.9,I,Client-Server
11.9,I,Client-Server
11.9,I,Client-Server
12.2,I,Client-Server
12.3,I,Client-Server
12.4,I,Client-Server
12.4,I,Client-Server
12.4,I,Client-Server
12.4,I,Client-Server
